user_id,country,gender,years_of_experience,no_of_apply,no_of_pass,no_of_hire,avg_apply_pass,avg_pass_hire,no_of_event_reg,signup_year,current_inactive_days,education_level,job_role,skills
60,South Korea,male,0,0,0,0,0,0,0,2015,739,Graduated College,Web Designer,Adobe Photoshop|Adobe Illustrator|Sketch|Zeplin
61,Japan,female,0,0,0,0,0,0,1,2015,746,Graduated College,UX Designer,Adobe Photoshop
62,South Korea,female,0,6,0,0,0,0,0,2015,36,Graduated College,Graphic Designer,Adobe Photoshop|Adobe Illustrator|Adobe|Design Thinking
65,South Korea,female,1,3,0,0,0,0,0,2015,328,No College,Front-end Engineer,Tensorflow|GCP|Scikit-Learn|Python|Pytorch|Flask|AWS
67,South Korea,female,0,73,5,1,0.3,0.3,0,2015,769,No College,UX Designer,Adobe Illustrator|Adobe Photoshop|Branding|Graphic Design|3D
68,South Korea,female,0,0,0,0,0,0,0,2015,66,Graduated College,Service Planner,Consulting
68,South Korea,female,0,0,0,0,0,0,0,2015,44,Graduated College,Service Planner,Consulting
69,South Korea,female,0,1,0,0,0,0,0,2015,765,Graduated College,Marketer,Advertising Agency|Marketing Communications
69,South Korea,female,0,1,0,0,0,0,0,2015,765,Graduated College,Marketer,Advertising Agency|Marketing Communications
71,South Korea,male,0,17,0,0,0,0,0,2015,84,Graduated College,Strategic Planner,Consulting
71,South Korea,male,0,17,0,0,0,0,0,2015,71,Graduated College,Strategic Planner,Consulting
72,South Korea,female,0,3,0,0,0,0,0,2015,849,Graduated College,iOS Developer,AWS|Python|JIRA|Confluence|GCP|Scrum
75,South Korea,female,0,4,0,0,0,0,1,2015,837,Graduated College,Social Marketer,Mobile Marketing|Marketing Operations
76,South Korea,male,0,30,4,0,0.1,0,0,2015,1133,Graduated College,Marketing Director,Branding|Brand Marketing|Content Creation|Advertising Management
77,South Korea,female,0,0,0,0,0,0,0,2015,752,Graduated College,Web Designer,Adobe
79,South Korea,male,0,0,0,0,0,0,0,2015,748,No College,BI/BX Designer,Adobe Photoshop|Adobe Illustrator
81,South Korea,male,0,1,0,0,0,0,0,2015,787,Graduated College,Data Analyst,SQL|Python|Data Analysis|Tableau|AWS|GCP
83,South Korea,male,0,0,0,0,0,0,0,2015,1064,No College,Web Developer,AWS|TypeScript|Node.js|React.js|React Native|GraphQL|JavaScript|OOP|React|ElasticSearch|Git|Python
84,South Korea,female,0,2,0,0,0,0,0,2015,896,Graduated College,Marketing Strategy Planner,AWS|Linux|Apache|Tomcat|Docker|Python
85,South Korea,female,0,2,0,0,0,0,0,2015,881,Graduated College,Purchasing Manager,Axure|Google Analytics|JIRA|Excel|SQL|Tensorflow|GCP|Scikit-Learn|Python|Pytorch|Flask|AWS
86,South Korea,male,0,0,0,0,0,0,0,2015,842,Graduated College,Technology Educator,MS Office
90,South Korea,female,0,1,0,0,0,0,0,2015,1084,Graduated College,Consultant,Consulting
91,South Korea,male,0,4,0,0,0,0,0,2015,99,Graduated College,Growth Hacker,AWS|GCP|Google Cloud Platform|PostgreSQL|MySQL|Python|Tableau|Redis
93,South Korea,male,0,11,3,0,0.1,0,0,2015,4,Graduated College,Customer Service Manager,Buy|Brand Management
94,South Korea,male,0,0,0,0,0,0,0,2015,1098,Graduated College,Marketer,Global Marketing
96,South Korea,female,0,3,0,0,0,0,0,2015,1107,Graduated College,UX Designer,Adobe Photoshop
98,South Korea,male,0,7,4,1,2.2,4.6,0,2015,887,No College,iOS Developer,Golang|Node.js|C|C++|TCP|UDP|NAT|Docker|Rust|Python
101,South Korea,female,0,12,3,0,0.1,0,0,2015,787,Graduated College,"QA, Test Engineer",Android|iOS
102,South Korea,male,0,3,0,0,0,0,0,2015,13,Graduated College,"Video, Motion Designer",Adobe Photoshop|Adobe Illustrator|Sketch|Figma
103,South Korea,male,0,0,0,0,0,0,0,2015,92,Graduated College,Web Designer,Figma|Graphic Design|Branding|Interaction Design|Product Design|Typography|Service Design|ProtoPie|Adobe Illustrator|UI Design|Adobe Photoshop
106,South Korea,female,0,3,0,0,0,0,0,2016,55,No College,Project Manager,Java|NoSQL|Kotlin|Scala
109,United States,female,0,0,0,0,0,0,0,2016,22,Graduated College,Python Developer,C++|CUDA|Spring Framework|AWS|C#|Python
113,Australia,male,0,16,4,0,1.1,0,0,2016,946,Graduated College,Social Marketer,Adobe Photoshop|Adobe Illustrator|Sketch|Figma
114,South Korea,male,0,2,0,0,0,0,0,2016,964,Graduated College,PR Specialist,Marketing Analytics|Marketing Event Planning
115,South Korea,female,0,0,0,0,0,0,3,2016,983,Graduated College,Video Editing Specialist,Adobe Photoshop|Adobe Illustrator|Flash|JIRA|Notion|Zeplin|Slack
119,South Korea,male,0,0,0,0,0.4,0,0,2016,42,No College,Web Developer,AWS|TypeScript|Node.js|React.js|React Native|GraphQL|JavaScript|OOP|React|ElasticSearch|Git|Python
119,South Korea,male,0,0,0,0,0.4,0,0,2016,32,No College,Web Developer,AWS|TypeScript|Node.js|React.js|React Native|GraphQL|JavaScript|OOP|React|ElasticSearch|Git|Python
120,South Korea,male,0,0,0,0,0,0,0,2016,1016,No College,Web Designer,Adobe Illustrator|Adobe Photoshop|Graphic Design|Adobe XD|Interaction Design|Service Design|Web Design|Sketch|UI Design
120,South Korea,male,0,0,0,0,0,0,0,2016,1016,No College,Web Designer,Adobe Illustrator|Adobe Photoshop|Graphic Design|Adobe XD|Interaction Design|Service Design|Web Design|Sketch|UI Design
122,South Korea,male,0,0,0,0,0,0,0,2016,84,No College,"QA, Test Engineer",RESTful architecture|RDBMS|NoSQL|Python|AWS|iOS|GCP|Azure|Docker|Redis|ElasticSearch|Swift|OpenGL|OpenGL ES|Metal|UI Design|UX|C++|React|Java|Kotlin|Android|MVVM|C|ObjectiveC
122,South Korea,male,0,0,0,0,0,0,0,2016,77,No College,"QA, Test Engineer",RESTful architecture|RDBMS|NoSQL|Python|AWS|iOS|GCP|Azure|Docker|Redis|ElasticSearch|Swift|OpenGL|OpenGL ES|Metal|UI Design|UX|C++|React|Java|Kotlin|Android|MVVM|C|ObjectiveC
125,South Korea,male,0,243,0,0,0,0,0,2016,794,Graduated College,Data Scientist,AMPL|Tableau
125,South Korea,male,0,243,0,0,0,0,0,2016,794,Graduated College,Data Scientist,AMPL|Tableau
126,South Korea,male,0,19,0,0,0,0,0,2016,973,Graduated College,Video Editing Specialist,Adobe Premiere|After Effect|Motion Graphics|Graphic Design
126,South Korea,male,0,19,0,0,0,0,0,2016,973,Graduated College,Video Editing Specialist,Adobe Premiere|After Effect|Motion Graphics|Graphic Design
128,South Korea,female,0,2,0,0,0,0,0,2016,786,Graduated College,Product Designer,Adobe Photoshop|Adobe Illustrator
128,South Korea,female,0,2,0,0,0,0,0,2016,786,Graduated College,Product Designer,Adobe Photoshop|Adobe Illustrator
129,South Korea,female,0,0,0,0,0,0,0,2016,790,Graduated College,UX Designer,Axure|Google Analytics|JIRA|Excel|SQL
129,South Korea,female,0,0,0,0,0,0,0,2016,790,Graduated College,UX Designer,Axure|Google Analytics|JIRA|Excel|SQL
131,South Korea,male,0,11,0,0,0,0,0,2016,71,Graduated College,Web Developer,Kotlin
131,South Korea,male,0,11,0,0,0,0,0,2016,34,Graduated College,Web Developer,Kotlin
133,Hong Kong,male,0,11,3,0,0.2,0,0,2016,769,Graduated College,iOS Developer,AWS|MySQL|MSSQL|Git
134,South Korea,male,0,0,0,0,0,0,0,2016,70,Graduated College,Web Designer,Figma
135,South Korea,male,0,22,0,0,0,0,0,2016,752,Graduated College,Service Planner,Adobe Premiere|After Effect|Editing|Directing|Team Oriented|Video Editing|Videographer|Fabrication|Video
136,South Korea,male,0,35,0,0,0,0,0,2016,1025,Graduated College,Social Marketer,Adobe Photoshop|Content Creation|Designs|Adobe Illustrator|Graphic Design
138,South Korea,male,0,3,0,0,0,0,0,2016,90,Graduated College,Space Designer,Adobe Photoshop
139,South Korea,female,0,16,3,0,0.1,0,0,2016,882,Graduated College,Strategic Planner,Business Affairs|Government Affairs
141,South Korea,male,0,0,0,0,0,0,0,2016,97,Graduated College,Web Designer,Adobe Photoshop|Adobe Illustrator|Adobe|Design Thinking
142,South Korea,male,0,1,0,0,0,0,0,2016,779,Graduated College,Data Engineer,AWS|Linux|Azure|GCP|Windows Server
143,South Korea,male,0,3,0,0,0,0,0,2016,975,No College,Editorial Designer,Adobe Photoshop|Adobe Illustrator
144,South Korea,female,0,1,0,0,0,0,0,2016,790,Graduated College,Recruiter,HR Management|HRM|Staffing|Payroll Administration|Evaluation|Reimbursement|Organizational Culture
145,South Korea,female,0,0,0,0,0,0,0,2016,961,Graduated College,Web Designer,UI Design|Figma|Graphic Design|Sketching|Branding|Product Design|Service Design|Adobe Illustrator|Adobe Photoshop
147,South Korea,female,0,0,0,0,0.5,0,0,2016,769,Graduated College,Web Developer,AWS|TypeScript|Node.js|React.js|React Native|GraphQL|JavaScript|OOP|React|ElasticSearch|Git|Python
148,South Korea,female,0,0,0,0,0,0,1,2016,881,Graduated College,Web Designer,C|C++|JavaScript
149,South Korea,female,0,3,0,0,0,0,0,2016,824,Graduated College,Photographer,Adobe
150,South Korea,male,0,76,4,0,0.1,0,0,2016,756,Graduated College,Web Publisher,AWS|Jenkins|Python|ISO|ISO 27001|APIs|Laravel|MySQL
151,South Korea,female,0,0,0,0,0,0,0,2016,899,Graduated College,Social Marketer,Office 365|Adobe Photoshop|Adobe Premiere
152,South Korea,male,0,0,0,0,0,0,0,2016,881,Graduated College,UX Designer,GCP|Python|Java|Scala
155,South Korea,female,0,4,3,0,1.6,0,0,2016,1004,No College,DevOps / System Admin,Java|Spring Boot|AWS|Docker|JIRA|BitBucket
161,South Korea,male,0,0,0,0,0,0,0,2016,1115,Graduated College,Web Publisher,Git|GitLab|Java|JavaScript|RDBMS|NoSQL|Redis|SaaS|AWS|Docker
165,South Korea,female,0,1,0,0,0,0,1,2016,71,Graduated College,Node.js Developer,DevOps|AWS|JavaScript|TypeScript|React|VueJS|ES6|HTML5|CSS|Node.js|Swift|ObjectiveC|MVVM|Kotlin|Android|PHP|Java|Spark|Scala|Python|MySQL|NoSQL|PostgreSQL
168,South Korea,female,0,0,0,0,0,0,0,2016,833,Graduated College,iOS Developer,Java|Kotlin|REST|TDD|Android|AAC
169,South Korea,male,0,0,0,0,0,0,0,2016,883,Graduated College,"C,C++ Developer",Java|Azure|AWS|GCP|Spring Boot
170,South Korea,female,0,62,4,0,0.4,0,0,2016,972,Graduated College,"Salary, Compensation",Axure|Google Analytics|JIRA|Excel|SQL|Tensorflow|GCP|Scikit-Learn|Python|Pytorch|Flask|AWS
171,South Korea,male,0,0,0,0,0,0,0,2016,32,Graduated College,Web Designer,Adobe Photoshop|Adobe Illustrator|Slack
173,South Korea,male,0,0,0,0,0,0,0,2016,1061,Graduated College,Illustrator,ProtoPie|After Effect|Figma|Zeplin|UX|UI Design
176,South Korea,male,0,0,0,0,0,0,0,2016,1203,No College,BI/BX Designer,Figma|Adobe XD|Sketch|Adobe Photoshop|Adobe Illustrator
178,South Korea,female,0,0,0,0,0,0,0,2016,34,Graduated College,Python Developer,Kotlin|Rx
179,South Korea,female,0,6,3,1,1,9.9,0,2016,1150,Graduated College,SEO Marketing Manager,Marketing Strategy|Marketing Analytics|Content Creation
180,South Korea,female,0,0,0,0,0,0,0,2016,62,Graduated College,Web Developer,AWS|Linux|Azure|GCP|Windows Server
182,Philippines,female,0,0,0,0,0,0,0,2016,76,Graduated College,Java Developer,Kotlin|Rx
184,South Korea,female,0,9,5,0,2.1,0,0,2016,1037,Graduated College,Front-end Engineer,AWS|Jenkins|Python|ISO|ISO 27001|APIs|Laravel|MySQL
187,South Korea,female,0,1,0,0,0,0,0,2016,940,Graduated College,Web Developer,Figma|Sketch|Zeplin|ProtoPie
188,South Korea,male,0,6,3,0,1.3,0,0,2016,94,Graduated College,iOS Developer,AWS|Linux|Azure|GCP|Windows Server
190,South Korea,male,0,4,3,0,0.6,0,0,2016,30,Graduated College,Marketer,Data Analysis|Marketing Strategy|Affiliate Management|Japanese|Content Management
193,Australia,male,0,5,4,0,0.5,0,0,2016,965,Graduated College,Web Designer,Adobe Photoshop|Adobe Illustrator
195,South Korea,male,0,0,0,0,0,0,0,2016,1023,Graduated College,Web Designer,Adobe Photoshop|Sketch|Zeplin
196,South Korea,male,0,0,0,0,0,0,0,2016,1162,Graduated College,Web Developer,AWS|Git|iOS|JavaScript|MySQL|Android|Kotlin|Swift|GitHub|Node.js
198,South Korea,female,0,3,0,0,0,0,0,2016,1080,No College,Web Designer,UX Design
202,South Korea,female,0,39,8,1,0.6,0,0,2016,820,Graduated College,Data Analyst,AWS
203,South Korea,male,0,0,0,0,0,0,0,2016,883,Graduated College,Development Manager,Python|Docker|APIs
204,South Korea,male,0,0,0,0,0,0,0,2016,93,Graduated College,Web Developer,Go|Node.js
205,South Korea,male,0,31,5,1,0.5,0,0,2016,843,Graduated College,Web Publisher,AWS|Azure
210,South Korea,female,0,6,0,0,0,0,0,2016,1165,Graduated College,Character Designer,Adobe Photoshop|Adobe Illustrator|Game Development|Unity3D|3D|Graphic Design
211,South Korea,female,0,2,0,0,0,0,0,2016,1117,Graduated College,Pharmaceutical Sales Specialist,Data Analysis|Marketing Strategy|Affiliate Management|Japanese|Content Management
213,South Korea,male,0,11,0,0,0,0,0,2016,31,Graduated College,Strategic Planner,Firebase
214,South Korea,female,0,0,0,0,0,0,0,2016,828,Graduated College,Web Developer,Python|Ruby|Go|Kotlin|JavaScript|Java|Spring Framework|Docker|VueJS|MySQL
217,South Korea,female,0,30,3,0,0.1,0,0,2016,961,Graduated College,Social Marketer,AMPL|Tableau
223,South Korea,male,0,9,0,0,0,0,0,2016,884,Graduated College,Social Marketer,Figma
223,South Korea,male,0,9,0,0,0,0,0,2016,884,Graduated College,Social Marketer,Figma
230,South Korea,male,0,0,0,0,0,0,0,2016,910,Graduated College,Sales Specialist,Compensation Structures|Compensations|Compensation Strategies|Compensation Planning
230,South Korea,male,0,0,0,0,0,0,0,2016,910,Graduated College,Sales Specialist,Compensation Structures|Compensations|Compensation Strategies|Compensation Planning
233,South Korea,male,0,89,3,1,0.1,0,0,2016,1119,Graduated College,SEO Marketing Manager,CRM|Growth Hacking
237,South Korea,male,0,39,0,0,0,0,0,2016,89,Graduated College,Partnership Specialist,Content Creation|Content Strategy|Marketing Communications|Marketing Materials
237,South Korea,male,0,39,0,0,0,0,0,2016,76,Graduated College,Partnership Specialist,Content Creation|Content Strategy|Marketing Communications|Marketing Materials
238,South Korea,male,0,2,0,0,0,0,0,2016,855,Graduated College,Writer,Marketing Strategy|Marketing Analytics|Marketing Operations|Marketing Management|Brand Strategy|Strategy Execution|Strategic Marketing
238,South Korea,male,0,2,0,0,0,0,0,2016,855,Graduated College,Writer,Marketing Strategy|Marketing Analytics|Marketing Operations|Marketing Management|Brand Strategy|Strategy Execution|Strategic Marketing
239,South Korea,male,0,47,7,1,0.5,7.8,0,2016,916,Graduated College,iOS Developer,AWS|Nginx|Java|JavaScript|MySQL|Git|Jenkins|jQuery|Spring Boot|Memcached|Redis
242,South Korea,male,0,8,0,0,0,0,0,2016,63,No College,Web Developer,Go|Node.js
242,South Korea,male,0,8,0,0,0,0,0,2016,7,No College,Web Developer,Go|Node.js
243,South Korea,male,0,0,0,0,0,0,0,2016,32,Graduated College,Python Developer,VueJS|TypeScript|HTML|JavaScript|CSS|Node.js
243,South Korea,male,0,0,0,0,0,0,0,2016,13,Graduated College,Python Developer,VueJS|TypeScript|HTML|JavaScript|CSS|Node.js
245,South Korea,female,0,0,0,0,0,0,0,2016,1005,Graduated College,Service Planner,Kotlin|NoSQL|Spring Framework|Java|REST|MongoDB|AWS|React.js|React|Docker|Git|TypeScript|Node.js|JavaScript|CSS|HTML5|Python|Scala|Tableau|Go|Spark
245,South Korea,female,0,0,0,0,0,0,0,2016,1005,Graduated College,Service Planner,Kotlin|NoSQL|Spring Framework|Java|REST|MongoDB|AWS|React.js|React|Docker|Git|TypeScript|Node.js|JavaScript|CSS|HTML5|Python|Scala|Tableau|Go|Spark
247,South Korea,male,0,0,0,0,0,0,0,2016,836,Graduated College,Product Designer,Adobe Photoshop|Adobe Illustrator
247,South Korea,male,0,0,0,0,0,0,0,2016,836,Graduated College,Product Designer,Adobe Photoshop|Adobe Illustrator
249,South Korea,male,0,28,3,0,0,0,2,2016,881,Graduated College,Partnership Specialist,CRM|Growth Hacking
249,South Korea,male,0,28,3,0,0,0,2,2016,881,Graduated College,Partnership Specialist,CRM|Growth Hacking
250,South Korea,female,0,0,0,0,0,0,0,2016,38,Graduated College,Partnership Specialist,Data Analysis|Content Management|Content Development|Document Management
250,South Korea,female,0,0,0,0,0,0,0,2016,31,Graduated College,Partnership Specialist,Data Analysis|Content Management|Content Development|Document Management
251,South Korea,female,0,4,0,0,0,0,0,2016,79,Graduated College,Web Designer,Adobe Illustrator|Adobe Photoshop
251,South Korea,female,0,4,0,0,0,0,0,2016,69,Graduated College,Web Designer,Adobe Illustrator|Adobe Photoshop
252,South Korea,male,0,1,0,0,1.7,0.5,0,2016,861,Graduated College,UX Designer,Adobe Illustrator|Adobe Photoshop|Branding|Graphic Design|3D
252,South Korea,male,0,1,0,0,1.7,0.5,0,2016,861,Graduated College,UX Designer,Adobe Illustrator|Adobe Photoshop|Branding|Graphic Design|3D
253,South Korea,male,0,4,0,0,0,0,0,2016,1159,Graduated College,"QA, Test Engineer",AWS|GCP|Google Cloud Platform|PostgreSQL|MySQL|Python|Tableau|Redis|Firebase
253,South Korea,male,0,4,0,0,0,0,0,2016,1159,Graduated College,"QA, Test Engineer",AWS|GCP|Google Cloud Platform|PostgreSQL|MySQL|Python|Tableau|Redis|Firebase
256,South Korea,male,0,0,0,0,0,0,0,2016,813,Graduated College,Python Developer,Java|Azure|AWS|GCP|Spring Boot
256,South Korea,male,0,0,0,0,0,0,0,2016,24,Graduated College,Python Developer,Java|Azure|AWS|GCP|Spring Boot
258,South Korea,male,0,0,0,0,0,0,0,2016,98,Graduated College,Web Designer,Adobe Photoshop|UI Design|Branding|Adobe Illustrator|Graphic Design|Figma|Zeplin|Adobe XD|Web Design
258,South Korea,male,0,0,0,0,0,0,0,2016,3,Graduated College,Web Designer,Adobe Photoshop|UI Design|Branding|Adobe Illustrator|Graphic Design|Figma|Zeplin|Adobe XD|Web Design
259,South Korea,female,0,2,0,0,0,0,0,2016,63,Graduated College,Service Planner,SQL|UT|Google Analytics
266,South Korea,female,0,8,0,0,0,0,0,2016,55,Graduated College,Marketer,Google Analytics
267,South Korea,male,0,0,0,0,0,0,0,2016,72,Graduated College,Marketing Strategy Planner,Java|NoSQL|Kotlin|Scala
270,South Korea,male,0,0,0,0,0,0,0,2016,855,Graduated College,"QA, Test Engineer",iOS|Android
273,South Korea,female,0,0,0,0,0,0,1,2016,54,Graduated College,Service Planner,Flutter|React.js|JSON|JavaScript|TypeScript|AWS|Swift
274,South Korea,male,0,9,0,0,0,0,0,2016,20,Graduated College,Technical Sales Specialist,JIRA|Tableau|Excel|PowerPoint|SQL
275,South Korea,male,0,2,0,0,0,0,0,2016,958,Graduated College,UX Designer,Adobe Animate|Adobe Photoshop
276,South Korea,female,0,12,4,0,0.5,0,0,2016,12,Graduated College,Social Marketer,CRM|Growth Hacking
278,South Korea,male,0,0,0,0,0,0,0,2016,1123,Graduated College,"Video, Motion Designer",Adobe Photoshop
280,South Korea,female,0,11,0,0,0,0,0,2016,14,Graduated College,Sales Engineer,Content Creation|Content Strategy|Marketing Communications|Marketing Materials
289,South Korea,female,0,2,0,0,0,0,0,2016,83,Graduated College,Technology Educator,HRM|HRO|HRIS
290,South Korea,male,0,26,0,0,0,0,0,2016,52,Graduated College,Web Designer,Adobe Photoshop|Adobe Illustrator
293,South Korea,female,0,16,0,0,0,0,0,2016,57,Graduated College,Video Editing Specialist,Adobe Premiere|After Effect
294,South Korea,female,0,2,0,0,0,0,0,2016,856,Graduated College,Strategic Planner,Google Analytics|MS Office|MS Excel|Power Point|Word Processing|Statistics|Analytical Abilities|Services Marketing
295,South Korea,male,0,0,0,0,0,0,0,2016,81,Graduated College,Game Graphic Designer,Adobe Photoshop|Adobe Illustrator|Flash|JIRA|Notion|Zeplin|Slack
296,South Korea,male,0,3,3,0,0.3,0,0,2016,976,Graduated College,"System, Network Administrator",Git|Android|Java|Kotlin|C++|Gradle|Maven|AWS|iOS|Swift|ObjectiveC|Python|MongoDB|MySQL
297,South Korea,female,0,0,0,0,0,0,0,2016,53,Graduated College,Strategic Planner,Firebase
300,South Korea,male,0,27,3,0,0.1,0,0,2016,1102,Graduated College,UX Designer,Adobe Illustrator|Adobe Photoshop|Graphic Design|Adobe XD|Interaction Design|Service Design|Web Design|Sketch|UI Design
303,South Korea,female,0,14,0,0,0,0,0,2016,840,No College,Web Publisher,API|Python|AWS|REST|RESTful WebServices|Flask|ORM|Linux|NoSQL|AngularJS|VueJS|DICOM|HL7|Git|JIRA
305,South Korea,female,0,35,4,0,0.7,0,0,2016,14,Graduated College,Web Designer,AWS|Git|MySQL|Redis|Docker|React|React.js|React Native|TypeScript|Spring Framework|Node.js|Kotlin|Apache Kafka|ElasticSearch
306,South Korea,male,0,3,0,0,0,0,0,2016,1,Graduated College,Python Developer,Java|Spring Boot|PostgreSQL|MySQL|AWS|C / C++|C++|Python
307,South Korea,male,0,0,0,0,0,0,0,2016,1076,Graduated College,Trader,Strategic Planning
308,South Korea,female,0,26,0,0,0,0,0,2016,81,Graduated College,"UI,GUI Designer",Adobe Illustrator|Adobe Photoshop|Sketch
309,South Korea,female,0,0,0,0,0,0,0,2016,18,Graduated College,Marketing Strategy Planner,Education|HRD
310,South Korea,female,0,50,0,0,0,0,4,2016,40,Graduated College,Android Developer,AWS|GCP|Google Cloud Platform|PostgreSQL|MySQL|Python|Tableau|Redis
311,South Korea,female,0,4,0,0,0,0,0,2016,904,Graduated College,Strategic Planner,AWS|Azure
312,South Korea,male,0,0,0,0,0,0,0,2016,35,Graduated College,Recruiter,Adobe Photoshop|Sketch|Adobe Illustrator|UI Design|Zeplin|Graphic Design|3D|UX Design|UX|iOS|Android|Figma|3D Modeling|3D graphics|3D rendering|Motion Design|Motion Graphics|After Effect
313,South Korea,male,0,3,0,0,0,0,0,2016,1021,Graduated College,UX Designer,Adobe Photoshop|Content Creation|Designs|Adobe Illustrator|Graphic Design
315,South Korea,female,0,4,0,0,0,0,0,2016,54,Graduated College,Web Developer,AWS|Jenkins|Python|ISO|ISO 27001|APIs|Laravel|MySQL
317,South Korea,male,0,11,3,0,0.3,0,0,2016,981,Graduated College,PHP Developer,AWS|DevOps
318,South Korea,female,0,2,0,0,0,0,0,2016,85,Graduated College,Embedded Developer,Golang|Pytorch|C++
319,South Korea,female,0,0,0,0,0,0,0,2016,24,Graduated College,Web Developer,AWS|Git|iOS|JavaScript|MySQL|Android|Kotlin|Swift|GitHub|Node.js
320,South Korea,male,0,0,0,0,0,0,0,2016,955,Graduated College,Industrial Designer,UX Design
322,South Korea,female,0,73,6,0,0.7,0,0,2016,1025,Graduated College,Web Designer,Accounting|Financial Reporting|Financial Accounting|IPO|IR|Management Accounting
323,South Korea,male,0,13,0,0,0,0,0,2016,1081,Graduated College,UX Designer,Adobe Illustrator|Typography|Branding|Figma|Zeplin|Graphic Design|Adobe Photoshop
328,South Korea,male,0,18,0,0,0,0,1,2016,82,Graduated College,Social Marketer,Branding|Brand Marketing|Content Creation|Advertising Management
329,South Korea,female,0,0,0,0,0,0,0,2016,99,Graduated College,Security Engineer,Android|iOS
331,South Korea,female,0,0,0,0,0,0,0,2016,90,Graduated College,PHP Developer,TypeScript|Kotlin|Swift|React|JavaScript|HTML|React Native
335,United States,female,0,3,3,0,0.3,0,0,2016,37,Graduated College,Web Developer,GitHub|JavaScript|AWS|Node.js|Git|SQL|React|Docker
338,South Korea,female,0,10,0,0,0,0,0,2016,757,Graduated College,Development Manager,AWS|Azure
